CoinID,Algorithm,ProofType,TotalCoinsMined,CirculatingSupply,class,CoinName
SC,Blake2b,PoW,49624222992.0,0.0,1,Siacoin
SMART,KECCAK,PoW,2729971974.2331142,0.0,1,SmartCash
XSN,X11,TPoS,126003200.14829591,0.0,0,Stakenet
STEEM,PoS,PoW,387113152.853,0.0,1,Steem
SYS,SHA-256,PoW,625995814.4022001,0.0,1,SysCoin
VET,VeChainThor Authority,Proof of Authority,85985041177.0,0.0,2,VeChain
XVG,Multiple,PoW,16488811737.83363,0.0,1,Verge
VTC,Lyra2REv2,PoW,63024786.31663466,0.0,1,Vertcoin
VIA,Scrypt,PoW,23174976.588385113,0.0,1,ViaCoin
WAVES,Leased POS,LPoS,106931836.0,0.0,2,Waves
ZEC,Equihash,PoW,11890362.82254682,0.0,1,ZCash
ZEL,Equihash,PoW/PoS,440000000.0,0.0,0,Zelcash
